Index	Word	Cluster
0	UNK	3
1	수업	3
2	교수님	0
3	시험	0
4	과제	3
5	학점	3
6	거	3
7	수	0
8	강의	0
9	기말	0
10	때	3
11	시간	3
12	생각	0
13	문제	3
14	분	3
15	발표	3
16	번	3
17	학생	3
18	중간	0
19	내용	3
20	공부	3
21	듯	0
22	정도	0
23	사람	0
24	점수	0
25	조	0
26	1	3
27	2	3
28	나	3
29	성적	0
30	학기	3
31	안	3
32	추천	0
33	책	3
34	개	3
35	편	3
36	출석	3
37	주심	3
38	수업시간	3
39	말	0
40	인간의가치탐색	0
41	설명	3
42	있음	0
43	자체	0
44	임	3
45	때문	3
46	중요	3
47	중	3
48	3	3
49	점	0
50	시민교육	0
51	부담	3
52	이해	0
53	저	3
54	하나	3
55	전	3
56	심	3
57	하심	3
58	중간고사	3
59	영어	3
60	한번	3
61	글쓰기1	3
62	과목	0
63	자기	3
64	우리가사는세계	0
65	고사	3
66	만큼	0
67	글	3
68	하면	3
69	질문	3
70	평가	3
71	부분	3
72	토론	0
73	4	3
74	내	3
75	팀	0
76	교수	0
77	함	3
78	진짜	0
79	꿀	3
80	뭐	3
81	제출	3
82	처음	0
83	건	0
84	에이	0
85	강	3
86	데	0
87	느낌	3
88	5	3
89	준비	3
90	노력	0
91	수강	3
92	주제	3
93	이상	3
94	기말고사	3
95	본인	3
96	무엇	3
97	대체	3
98	0	3
99	자신	0
100	팀플	0
101	개인적	3
102	애	3
103	티	3
104	레포트	3
105	나름	3
106	피	3
107	플	3
108	출결	3
109	답	0
110	진행	3
111	이것	0
112	기준	0
113	글쓰기2	3
114	장	3
115	글쓰기	3
116	시험문제	3
117	필기	3
118	여	3
119	대학영어	0
120	주신	3
121	줄	3
122	주	3
123	필요	3
124	매	3
125	이	3
126	명	0
127	도움	3
128	얘기	3
129	이번	3
130	조원	3
131	마지막	3
132	수준	0
133	동안	3
134	별	3
135	교재	3
136	친절	0
137	활동	3
138	라	3
139	일	3
140	10	0
141	방식	0
142	등	3
143	학교	3
144	평	0
145	이름	3
146	식	0
147	진도	3
148	퀴즈	3
149	관심	3
150	혼자	0
151	주시	3
152	하다	3
153	피드백	0
154	대	0
155	앞	3
156	내가	0
157	피피티	3
158	시	3
159	말씀	0
160	지각	0
161	탐	0
162	그것	3
163	전공	0
164	대신	3
165	ㅇ	3
166	요약	3
167	참여	0
168	범위	3
169	다	0
170	개인	0
171	갓	3
172	비율	0
173	대학	0
174	경우	0
175	최고	3
176	보고	0
177	결석	0
178	ㅎ	3
179	관련	0
180	에세이	3
181	후	0
182	마	3
183	가능	3
184	조금	0
185	이야기	3
186	지식	0
187	좋으	0
188	해	3
189	난이도	0
190	절대	3
191	소리	3
192	우리	3
193	만	3
194	평소	0
195	자료	3
196	줌	3
197	정리	3
198	집중	0
199	좋으심	0
200	만족	0
201	정	0
202	이거	0
203	비	3
204	기간	3
205	의견	3
206	분량	3
207	사실	0
208	사랑	0
209	족보	0
210	수업내용	3
211	비제	0
212	그거	3
213	2번	0
214	대부분	0
215	중간기말	0
216	실력	0
217	목소리	3
218	기억	3
219	신입생세미나1	3
220	연습	0
221	고	0
222	영어2	0
223	논술	3
224	걱정	3
225	반	3
226	밑	0
227	날	3
228	끝	3
229	눈	3
230	유익	3
231	작성	3
232	완전	3
233	위주	0
234	참고	3
235	고등	3
236	수업때	0
237	반영	0
238	문	0
239	프린트	3
240	학년	3
241	스타일	3
242	열정	3
243	미분적분학1	3
244	개꿀	3
245	30	0
246	개념	0
247	휴강	3
248	고등학교	3
249	친구	0
250	신경	3
251	논문	3
252	다음	3
253	모임	3
254	기대	0
255	나중	3
256	단어	3
257	뒤	3
258	자유	3
259	성격	0
260	과	3
261	ㅠ	0
262	목	3
263	우	0
264	쁠	0
265	면	0
266	봄	3
267	출튀	0
268	6	3
269	교육	0
270	만점	0
271	열정적	0
272	감사	3
273	신청	3
274	강추	0
275	터	3
276	노	0
277	마음	0
278	서술형	3
279	생	0
280	부족	0
281	형식	3
282	체크	3
283	음	0
284	3번	3
285	흥미	0
286	암기	0
287	분위기	0
288	하	0
289	물리	0
290	예제	0
291	남	3
292	선택	3
293	빅뱅에서문명까지	3
294	학기동안	0
295	보고서	3
296	연습문제	0
297	꿀강	3
298	이론	0
299	소	3
300	영어1	0
301	어려움	0
302	프로젝트	0
303	예상	0
304	감	0
305	교양	3
306	학과	0
307	영화	3
308	40	0
309	학	3
310	하루	3
311	주관식	0
312	내고	3
313	지	3
314	시작	0
315	사세	3
316	나머지	0
317	북	0
318	쪽	3
319	물리학및실험1	0
320	20	3
321	모습	0
322	모두	3
323	시민	0
324	거기	3
325	비추	0
326	기본	3
327	둘	0
328	오픈	0
329	1번	3
330	귀	0
331	조모임	3
332	진심	0
333	시험공부	0
334	중간중간	0
335	이유	0
336	적	3
337	뿐	3
338	인	3
339	배려	0
340	성실	3
341	제대	3
342	일주일	3
343	평균	0
344	재미	0
345	김	0
346	우사세	0
347	히	0
348	변별력	0
349	짱	3
350	출제	0
351	소논문	3
352	널	0
353	독학	3
354	15	3
355	포기	3
356	결과	3
357	그	3
358	단원	0
359	초반	3
360	자리	3
361	인생	0
362	공	0
363	세요	0
364	단점	0
365	의미	3
366	수업임	0
367	힘	3
368	기분	0
369	가지	3
370	ㄹ	0
371	쪽지	0
372	이후	3
373	영향	0
374	양	3
375	제로	0
376	보통	3
377	결론	0
378	최대한	0
379	예	3
380	태도	0
381	전날	0
382	디	3
383	7	3
384	여기	3
385	으	3
386	International	0
387	메일	0
388	짐	3
389	자	3
390	대답	0
391	객관식	3
392	최악	0
393	외	3
394	마세	3
395	전체적	0
396	대로	3
397	장점	3
398	앞자리	3
399	망	3
400	시험기간	3
401	논리회로	0
402	기초	0
403	채점	0
404	인정	3
405	복습	3
406	특성	0
407	오픈북	0
408	신세	3
409	년	3
410	쓰기	3
411	100	0
412	오	3
413	비중	3
414	원래	3
415	기출	3
416	바	3
417	무	0
418	안해	3
419	거임	0
420	9	3
421	듣기	0
422	대충	0
423	수도	0
424	진	0
425	과정	3
426	문과	0
427	역사	3
428	이과	0
429	1학기	3
430	후회	0
431	한데	3
432	전체	0
433	조교	0
434	흐름	3
435	질	3
436	쪽지시험	0
437	제가	3
438	에이플	0
439	전반적	3
440	주의	0
441	손	0
442	시고	0
443	정치	0
444	선형대수	3
445	전부	0
446	회	0
447	토	3
448	느님	0
449	서술	0
450	모든	3
451	한명	0
452	시교	0
453	짓	3
454	학점느님	0
455	디자인	0
456	사회	0
457	Introduction	0
458	시험범위	0
459	to	3
460	스트레스	3
461	약간	0
462	당	3
463	에이쁠	0
464	이번학기	3
465	차이	0
466	기초공학설계	0
467	제일	3
468	풀이	3
469	위	3
470	수업중	3
471	ㅋ	3
472	적극적	0
473	요구	0
474	얼굴	3
475	기본적	3
476	배분	3
477	제도	3
478	철학	0
479	잼	0
480	현장	3
481	ㄱ	3
482	ㄹㅇ	3
483	소통	0
484	온라인	3
485	안됨	3
486	실험	3
487	투자	0
488	기	0
489	영상	3
490	어디	0
491	수업방식	3
492	결국	0
493	실수	0
494	수업자체	0
495	방법	0
496	유형	0
497	감상문	3
498	형	0
499	노트	3
500	권	0
501	셤	0
502	맘	3
503	챕터	3
504	재	0
505	분야	3
506	드로잉	3
507	신입생세미나2(기숙교육프로그램)	0
508	필수	3
509	실기	0
510	법	0
511	머리	0
512	강조	3
513	하세	3
514	리	3
515	씨	0
516	은	0
517	물	0
518	잠	3
519	수강신청	3
520	발음	3
521	로	0
522	우사	3
523	팀원	3
524	교	0
525	전달	0
526	셈	0
527	계산	3
528	공학프로그래밍입문	3
529	페이지	3
530	번째	3
531	수학	0
532	이랑	0
533	극	3
534	통수	0
535	차	0
536	가면	0
537	문장	3
538	올	3
539	못	3
540	도	0
541	프리	3
542	3개	3
543	경희대	0
544	겁	0
545	구	3
546	주고	3
547	미분적분학2	3
548	Daniel	0
549	종강	3
550	편애	0
551	동영상	0
552	당신	3
553	기말때	0
554	도로	0
555	4번	0
556	프로그래밍기초	0
557	ㅇㅇ	3
558	간	3
559	생물	0
560	하나하나	3
561	입장	0
562	숙제	3
563	화학1	0
564	기회	0
565	ㅈ	0
566	은근	3
567	포	0
568	ㅅ	0
569	오태호	3
570	고민	3
571	확인	3
572	신	3
573	물리학1	0
574	덕분	0
575	1학년	0
576	사용	0
577	누	3
578	돈	3
579	달	3
580	아래	0
581	고생	0
582	지정	3
583	절대평가	3
584	공학과경영	3
585	화학	0
586	움	0
587	꺼	3
588	강의실	0
589	연강	0
590	중요하다	3
591	등록금	3
592	길	3
593	핸드폰	3
594	빡	0
595	암	3
596	공대	0
597	발	0
598	경험	3
599	필자	3
600	계속	3
601	랜덤	0
602	일반생물	3
603	현장활동	3
604	미분적분학	0
605	마라	0
606	8	3
607	방향	3
608	포함	3
609	생물1	3
610	밖	3
611	입	0
612	첨삭	3
613	선배	0
614	국제	3
615	칠판	3
616	레	0
617	실제	3
618	구성	3
619	일반화학	0
620	김인석	3
621	옴	0
622	지문	3
623	난이	3
624	양이	3
625	시험때	0
626	성향	3
627	최종	3
628	안주	0
629	계획서	3
630	윤민희	3
631	겐	0
632	ㅜ	3
633	당황	0
634	폭격기	0
635	이분	3
636	선	3
637	수강생	0
638	평면디자인	3
639	해석	0
640	단	3
641	2학기	0
642	능력	0
643	박상용	0
644	김은하	0
645	지도	0
646	과학	0
647	오일환	3
648	시험지	0
649	기말시험	0
650	처리	0
651	답변	0
652	핵심	0
653	30분	0
654	실	3
655	직접	3
656	2주	3
657	비쁠	3
658	그때	3
659	분석	3
660	한국어	0
661	1점	3
662	문법	3
663	저희	3
664	보임	3
665	수있음	3
666	등등	3
667	파악	0
668	2개	0
669	ㄷ	3
670	ㅂ	3
671	하라	0
672	작품	3
673	정도로	0
674	거랑	3
675	단답형	0
676	나도	0
677	착하	3
678	아무것	3
679	계획	3
680	답안	3
681	다양	3
682	무리	0
683	비교	0
684	강의평가	3
685	그림	3
686	추가	0
687	조사	3
688	지적	0
689	파트	0
690	경제	0
691	Brian	0
692	자랑	3
693	공학	0
694	계절	3
695	컴	3
696	윤	3
697	폰	0
698	Chol	0
699	키워드	3
700	Brown	3
701	개인과제	0
702	상	0
703	성의	3
704	미적	3
705	총	0
706	Hyon	0
707	인터넷	3
708	대비	3
709	개별	3
710	수정	3
711	가산점	3
712	독	3
713	50	0
714	내심	3
715	회로	3
716	Economics	0
717	매시간	3
718	언어	0
719	여우	0
720	상담	3
721	지금	3
722	인간적	3
723	Arundel	0
724	원	3
725	꿀강의	3
726	프로그래밍	0
727	한마디	0
728	1시간	3
729	감점	3
730	예습	3
731	열의	0
732	벼락	0
733	팁	3
734	운	3
735	프로	0
736	급	3
737	학우	3
738	순	3
739	초급	3
740	반복	0
741	5개	3
742	유리	0
743	호명	3
744	커버	3
745	칼	0
746	상관	0
747	전자	3
748	5번	3
749	아침	3
750	사진	3
751	주세	3
752	만약	3
753	가도	0
754	분임	3
755	제	3
756	영	0
757	첨	0
758	필	3
759	쓰레기	3
760	미	3
761	민	3
762	정의진	0
763	신입생	0
764	증명	0
765	난	3
766	강좌	3
767	자세	0
768	박	3
769	불편	0
770	거지	0
771	애초	3
772	상황	3
773	누구	3
774	60	0
775	칭찬	0
776	사이	3
777	주관적	3
778	인자	3
779	정신	3
780	당일	3
781	치	0
782	정정	3
783	아	3
784	본	3
785	귀여우심	0
786	고봉준	0
787	퀄리티	3
788	열역학	0
789	인지	3
790	시기	3
791	치심	3
792	디지털디자인	0
793	니	3
794	대학교	0
795	유	0
796	최인자	3
797	완벽	3
798	선생님	3
799	리포트	3
800	배	3
801	한글	3
802	법,질서,국가	0
803	5점	3
804	이준태	3
805	박대진	0
806	객관적	3
807	행복이란무엇인가	3
808	의문	0
809	정확	0
810	의식	3
811	회로이론	3
812	한	3
813	결과물	0
814	초	0
815	역학	0
816	90	0
817	논리	3
818	ㄴ	0
819	박시홍	0
820	서명구	0
821	속	3
