Index	Word	Cluster
0	UNK	4
1	수업	3
2	교수님	3
3	시험	3
4	과제	3
5	학점	3
6	거	3
7	수	4
8	강의	3
9	기말	0
10	때	4
11	시간	4
12	생각	3
13	문제	3
14	분	0
15	발표	3
16	번	1
17	학생	0
18	중간	3
19	내용	3
20	공부	3
21	듯	3
22	정도	3
23	사람	4
24	점수	3
25	조	0
26	1	3
27	2	3
28	나	4
29	성적	3
30	학기	3
31	안	3
32	추천	3
33	책	3
34	개	3
35	편	0
36	출석	3
37	주심	3
38	수업시간	3
39	말	3
40	인간의가치탐색	4
41	설명	3
42	있음	3
43	자체	3
44	임	3
45	때문	3
46	중요	3
47	중	0
48	3	4
49	점	0
50	시민교육	0
51	부담	3
52	이해	3
53	저	3
54	하나	1
55	전	3
56	심	4
57	하심	4
58	중간고사	3
59	영어	0
60	한번	3
61	글쓰기1	3
62	과목	0
63	자기	3
64	우리가사는세계	0
65	고사	3
66	만큼	3
67	글	3
68	하면	3
69	질문	3
70	평가	3
71	부분	0
72	4	3
73	토론	3
74	내	4
75	팀	4
76	교수	3
77	함	0
78	진짜	3
79	꿀	4
80	제출	3
81	뭐	3
82	처음	0
83	건	4
84	에이	3
85	강	1
86	데	1
87	느낌	0
88	5	3
89	준비	0
90	노력	0
91	수강	0
92	주제	4
93	이상	3
94	기말고사	0
95	본인	3
96	무엇	0
97	대체	3
98	0	3
99	자신	3
100	팀플	4
101	개인적	3
102	애	4
103	티	3
104	레포트	3
105	나름	3
106	피	3
107	플	0
108	출결	3
109	답	0
110	진행	1
111	이것	3
112	기준	4
113	글쓰기2	3
114	장	3
115	글쓰기	4
116	시험문제	3
117	필기	3
118	여	4
119	대학영어	0
120	주신	3
121	줄	3
122	주	3
123	필요	4
124	매	3
125	이	0
126	명	3
127	도움	3
128	얘기	4
129	이번	3
130	조원	4
131	마지막	3
132	수준	0
133	동안	0
134	별	3
135	교재	3
136	친절	0
137	활동	0
138	라	3
139	일	0
140	10	3
141	방식	3
142	등	0
143	학교	3
144	평	3
145	이름	4
146	식	3
147	진도	1
148	퀴즈	0
149	관심	4
150	혼자	3
151	주시	0
152	하다	3
153	대	3
154	피드백	0
155	앞	0
156	시	0
157	피피티	3
158	내가	3
159	말씀	3
160	지각	3
161	탐	4
162	그것	3
163	전공	0
164	대신	1
165	ㅇ	3
166	참여	3
167	요약	4
168	범위	4
169	다	3
170	개인	4
171	갓	3
172	비율	3
173	대학	3
174	경우	1
175	최고	0
176	보고	3
177	ㅎ	4
178	결석	3
179	관련	3
180	에세이	3
181	후	0
182	마	4
183	가능	3
184	조금	1
185	이야기	4
186	지식	3
187	좋으	4
188	해	4
189	절대	4
190	난이도	3
191	우리	4
192	소리	3
193	만	3
194	자료	4
195	평소	3
196	줌	0
197	정리	4
198	집중	3
199	좋으심	4
200	만족	3
201	정	4
202	이거	3
203	비	3
204	기간	4
205	의견	0
206	분량	4
207	사실	3
208	사랑	0
209	수업내용	3
210	비제	4
211	족보	3
212	중간기말	4
213	2번	3
214	대부분	4
215	그거	3
216	실력	0
217	기억	3
218	신입생세미나1	4
219	목소리	4
220	연습	3
221	고	0
222	영어2	0
223	논술	3
224	걱정	0
225	반	3
226	밑	0
227	날	0
228	눈	3
229	유익	3
230	끝	3
231	작성	3
232	참고	0
233	위주	3
234	완전	3
235	고등	3
236	반영	3
237	수업때	3
238	문	3
239	프린트	3
240	학년	0
241	스타일	4
242	열정	0
243	미분적분학1	4
244	개꿀	3
245	30	4
246	휴강	3
247	개념	3
248	고등학교	3
249	친구	0
250	신경	3
251	논문	4
252	모임	3
253	다음	0
254	기대	3
255	나중	3
256	단어	3
257	뒤	3
258	자유	3
259	성격	0
260	과	0
261	ㅠ	0
262	면	4
263	우	4
264	쁠	3
265	목	4
266	출튀	3
267	봄	0
268	6	3
269	감사	3
270	교육	3
271	열정적	0
272	만점	0
273	강추	3
274	신청	3
275	노	0
276	터	0
277	마음	0
278	부족	0
279	생	4
280	서술형	3
281	형식	3
282	3번	0
283	체크	3
284	음	4
285	분위기	0
286	암기	0
287	흥미	3
288	하	4
289	물리	3
290	예제	3
291	남	1
292	빅뱅에서문명까지	3
293	선택	3
294	학기동안	3
295	보고서	0
296	연습문제	3
297	이론	0
298	꿀강	4
299	영어1	3
300	어려움	3
301	소	0
302	프로젝트	0
303	예상	3
304	감	0
305	교양	0
306	학	3
307	학과	3
308	하루	0
309	40	3
310	영화	3
311	주관식	3
312	지	3
313	내고	0
314	사세	4
315	나머지	3
316	북	4
317	시작	0
318	물리학및실험1	4
319	쪽	3
320	20	3
321	시민	3
322	모습	3
323	모두	3
324	기본	3
325	비추	4
326	거기	3
327	오픈	4
328	둘	3
329	1번	4
330	귀	3
331	진심	4
332	조모임	3
333	시험공부	4
334	이유	0
335	중간중간	0
336	뿐	4
337	적	4
338	성실	3
339	인	0
340	배려	4
341	제대	0
342	일주일	0
343	평균	3
344	재미	0
345	김	3
346	출제	3
347	우사세	4
348	변별력	3
349	짱	0
350	히	0
351	소논문	4
352	널	4
353	독학	3
354	그	4
355	결과	0
356	15	0
357	초반	0
358	포기	4
359	단원	4
360	자리	0
361	인생	3
362	세요	3
363	단점	0
364	의미	3
365	힘	1
366	수업임	3
367	공	3
368	ㄹ	4
369	기분	4
370	가지	4
371	영향	0
372	이후	4
373	쪽지	0
374	제로	3
375	양	3
376	보통	3
377	예	4
378	태도	0
379	전날	0
380	결론	0
381	최대한	0
382	디	0
383	여기	3
384	7	3
385	으	4
386	짐	4
387	객관식	3
388	메일	0
389	대답	0
390	자	3
391	International	3
392	외	0
393	최악	3
394	전체적	3
395	앞자리	3
396	대로	3
397	망	3
398	마세	4
399	장점	4
400	시험기간	4
401	기초	0
402	논리회로	3
403	채점	3
404	인정	4
405	복습	3
406	오픈북	4
407	특성	3
408	100	4
409	년	3
410	쓰기	3
411	신세	4
412	오	3
413	비중	3
414	원래	0
415	기출	0
416	바	0
417	수도	0
418	듣기	0
419	안해	4
420	9	4
421	거임	3
422	대충	4
423	무	1
424	문과	3
425	역사	0
426	과정	0
427	진	4
428	이과	0
429	후회	3
430	한데	3
431	1학기	3
432	전체	3
433	조교	0
434	흐름	3
435	에이플	3
436	제가	4
437	질	4
438	쪽지시험	0
439	손	0
440	선형대수	3
441	시고	0
442	전부	3
443	주의	3
444	정치	4
445	전반적	3
446	회	3
447	토	3
448	느님	3
449	한명	0
450	서술	3
451	모든	0
452	사회	3
453	디자인	0
454	학점느님	3
455	시교	0
456	짓	4
457	to	4
458	당	0
459	스트레스	0
460	시험범위	3
461	에이쁠	3
462	이번학기	3
463	Introduction	3
464	약간	4
465	제일	0
466	기초공학설계	4
467	풀이	0
468	수업중	3
469	ㅋ	4
470	차이	3
471	위	3
472	요구	3
473	얼굴	0
474	적극적	3
475	기본적	1
476	제도	3
477	배분	3
478	철학	3
479	잼	4
480	현장	4
481	소통	0
482	ㄱ	3
483	ㄹㅇ	4
484	실험	0
485	안됨	4
486	기	0
487	투자	3
488	온라인	0
489	수업방식	1
490	결국	0
491	실수	3
492	영상	4
493	어디	0
494	방법	1
495	수업자체	0
496	맘	4
497	노트	0
498	셤	3
499	형	3
500	권	3
501	유형	3
502	감상문	0
503	재	4
504	챕터	0
505	신입생세미나2(기숙교육프로그램)	3
506	드로잉	0
507	분야	4
508	강조	0
509	법	3
510	실기	1
511	리	3
512	필수	4
513	머리	3
514	씨	0
515	은	3
516	하세	1
517	로	3
518	물	0
519	잠	4
520	발음	1
521	팀원	4
522	우사	4
523	수강신청	4
524	교	0
525	수학	3
526	셈	4
527	공학프로그래밍입문	4
528	번째	0
529	계산	0
530	페이지	0
531	전달	1
532	이랑	4
533	통수	0
534	극	3
535	가면	3
536	차	0
537	문장	3
538	프리	0
539	도	4
540	못	0
541	올	3
542	Daniel	3
543	미분적분학2	4
544	경희대	3
545	주고	4
546	동영상	0
547	구	3
548	편애	3
549	종강	4
550	3개	3
551	겁	3
552	당신	3
553	4번	3
554	프로그래밍기초	0
555	기말때	4
556	도로	0
557	생물	4
558	화학1	0
559	ㅇㅇ	3
560	하나하나	0
561	입장	4
562	숙제	0
563	간	0
